#M_sun	ni-58	ni-60	ni-61	ni-62	ni-64
8	0	0	0	0	0
1.200000e+01	4.752000e-08	1.894000e-08	8.369000e-10	2.712000e-09	7.130000e-10
1.500000e+01	7.069000e-08	2.817000e-08	1.245000e-09	4.034000e-09	1.060000e-09
2.000000e+01	1.487000e-07	5.925000e-08	2.619000e-09	8.486000e-09	2.231000e-09
2.500000e+01	2.343000e-07	9.336000e-08	4.126000e-09	1.337000e-08	3.515000e-09
