#M	Z	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
1.200000e+01	1.000000e-03	3.245000e-13	2.142000e-12	1.098000e-11	1.102000e-11	5.494000e-11	1.701000e-11
1.500000e+01	1.000000e-03	4.827000e-13	3.187000e-12	1.633000e-11	1.639000e-11	8.171000e-11	2.530000e-11
2.000000e+01	1.000000e-03	1.015000e-12	6.704000e-12	3.436000e-11	3.448000e-11	1.719000e-10	5.323000e-11
2.500000e+01	1.000000e-03	1.600000e-12	1.056000e-11	5.413000e-11	5.432000e-11	2.708000e-10	8.387000e-11
