#M_sun	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
8	0	0	0	0	0	0	0	0
1.200000e+01	5.281000e-14	3.831000e-14	5.475000e-13	5.662000e-13	1.077000e-12	5.503000e-13	1.305000e-12	3.463000e-13
1.500000e+01	7.854000e-14	5.698000e-14	8.144000e-13	8.422000e-13	1.602000e-12	8.186000e-13	1.942000e-12	5.150000e-13
2.000000e+01	1.652000e-13	1.199000e-13	1.713000e-12	1.772000e-12	3.370000e-12	1.722000e-12	4.084000e-12	1.083000e-12
2.500000e+01	2.603000e-13	1.889000e-13	2.699000e-12	2.792000e-12	5.310000e-12	2.713000e-12	6.435000e-12	1.707000e-12
