#M_sun	k-39	k-40	k-41
8	0	0	0
1.200000e+01	3.245000e-09	4.153000e-13	2.462000e-10
1.500000e+01	4.827000e-09	6.180000e-13	3.662000e-10
2.000000e+01	1.015000e-08	1.300000e-12	7.703000e-10
2.500000e+01	1.600000e-08	2.052000e-12	1.214000e-09
