#M	Z	re-185	re-187
1.200000e+01	1.000000e-03	8.719000e-14	1.498000e-13
1.500000e+01	1.000000e-03	1.297000e-13	2.240000e-13
2.000000e+01	1.000000e-03	2.728000e-13	4.687000e-13
2.500000e+01	1.000000e-03	4.299000e-13	7.311000e-13
