#M_sun	c-12	c-13
8	0	0
1.200000e+01	8.648000e-06	1.158000e-07
1.500000e+01	1.257000e-05	1.906000e-07
2.000000e+01	2.687000e-05	5.842000e-07
2.500000e+01	4.949000e-05	2.720000e-07
