#M	Z	rb-85	rb-87
1.200000e+01	1.000000e-03	1.067000e-11	4.212000e-12
1.500000e+01	1.000000e-03	1.587000e-11	6.266000e-12
2.000000e+01	1.000000e-03	3.339000e-11	1.318000e-11
2.500000e+01	1.000000e-03	5.261000e-11	2.077000e-11
