#M_sun	la-138	la-139
8	0	0
1.200000e+01	1.332000e-15	1.490000e-12
1.500000e+01	1.979000e-15	2.216000e-12
2.000000e+01	4.166000e-15	4.661000e-12
2.500000e+01	6.573000e-15	7.344000e-12
