#M_sun	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
8	0	0	0	0	0	0	0
1.200000e+01	2.434000e-13	8.380000e-14	5.779000e-13	5.765000e-13	7.884000e-13	1.473000e-12	8.861000e-13
1.500000e+01	3.621000e-13	1.246000e-13	8.596000e-13	8.575000e-13	1.173000e-12	2.190000e-12	1.318000e-12
2.000000e+01	7.617000e-13	2.622000e-13	1.808000e-12	1.804000e-12	2.467000e-12	4.608000e-12	2.773000e-12
2.500000e+01	1.200000e-12	4.132000e-13	2.849000e-12	2.842000e-12	3.887000e-12	7.260000e-12	4.369000e-12
