#M	Z	zr-90	zr-91	zr-92	zr-94	zr-96
1.200000e+01	1.000000e-03	1.277000e-11	2.816000e-12	4.349000e-12	4.504000e-12	7.409000e-13
1.500000e+01	1.000000e-03	1.899000e-11	4.188000e-12	6.469000e-12	6.700000e-12	1.102000e-12
2.000000e+01	1.000000e-03	3.995000e-11	8.811000e-12	1.361000e-11	1.409000e-11	2.318000e-12
2.500000e+01	1.000000e-03	6.295000e-11	1.388000e-11	2.144000e-11	2.221000e-11	3.653000e-12
