#M_sun	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
8	0	0	0	0	0	0	0	0
1.200000e+01	1.355000e-14	3.735000e-13	1.314000e-13	7.024000e-13	1.050000e-12	2.809000e-12	4.770000e-12	5.168000e-12
1.500000e+01	2.015000e-14	5.556000e-13	1.954000e-13	1.045000e-12	1.561000e-12	4.178000e-12	7.096000e-12	7.687000e-12
2.000000e+01	4.239000e-14	1.169000e-12	4.110000e-13	2.198000e-12	3.284000e-12	8.788000e-12	1.493000e-11	1.617000e-11
2.500000e+01	6.680000e-14	1.841000e-12	6.476000e-13	3.463000e-12	5.175000e-12	1.385000e-11	2.352000e-11	2.548000e-11
