#M_sun	s-32	s-33	s-34	s-36
8	0	0	0	0
1.200000e+01	9.087000e-07	2.717000e-09	1.573000e-08	6.718000e-11
1.500000e+01	1.352000e-06	4.042000e-09	2.340000e-08	9.992000e-11
2.000000e+01	2.843000e-06	8.502000e-09	4.922000e-08	2.102000e-10
2.500000e+01	4.480000e-06	1.339000e-08	7.755000e-08	3.312000e-10
