#M	Z	sb-121	sb-123
1.200000e+01	1.000000e-03	5.257000e-13	3.997000e-13
1.500000e+01	1.000000e-03	7.820000e-13	5.945000e-13
2.000000e+01	1.000000e-03	1.645000e-12	1.250000e-12
2.500000e+01	1.000000e-03	2.592000e-12	1.970000e-12
