#M	Z	ar-36	ar-38	ar-40
1.200000e+01	1.000000e-03	1.362000e-07	1.310000e-08	2.205000e-11
1.500000e+01	1.000000e-03	2.026000e-07	1.948000e-08	3.280000e-11
2.000000e+01	1.000000e-03	4.261000e-07	4.098000e-08	6.900000e-11
2.500000e+01	1.000000e-03	6.714000e-07	6.458000e-08	1.087000e-10
