#M_sun	ag-107	ag-109
8	0	0
1.200000e+01	6.524000e-13	6.174000e-13
1.500000e+01	9.704000e-13	9.184000e-13
2.000000e+01	2.041000e-12	1.932000e-12
2.500000e+01	3.216000e-12	3.044000e-12
