#M_sun	cl-35	cl-37
8	0	0
1.200000e+01	5.676000e-09	1.919000e-09
1.500000e+01	8.443000e-09	2.854000e-09
2.000000e+01	1.776000e-08	6.003000e-09
2.500000e+01	2.798000e-08	9.459000e-09
