#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	1.000000e-03	6.985000e-16	1.562000e-13	8.485000e-14	1.826000e-13	1.713000e-13
1.500000e+01	1.000000e-03	1.039000e-15	2.324000e-13	1.262000e-13	2.717000e-13	2.548000e-13
2.000000e+01	1.000000e-03	2.186000e-15	4.888000e-13	2.655000e-13	5.715000e-13	5.359000e-13
2.500000e+01	1.000000e-03	3.444000e-15	7.702000e-13	4.183000e-13	9.005000e-13	8.444000e-13
