#M_sun	ta-180	ta-181
8	0	0
1.200000e+01	2.021000e-17	1.652000e-13
1.500000e+01	3.007000e-17	2.458000e-13
2.000000e+01	6.325000e-17	5.170000e-13
2.500000e+01	9.966000e-17	8.146000e-13
