#M	Z	bi-209
1.200000e+01	1.000000e-03	7.255000e-13
1.500000e+01	1.000000e-03	1.079000e-12
2.000000e+01	1.000000e-03	2.270000e-12
2.500000e+01	1.000000e-03	3.577000e-12
