#M	Z	mn-55
1.200000e+01	1.000000e-03	9.137000e-09
1.500000e+01	1.000000e-03	1.359000e-08
2.000000e+01	1.000000e-03	2.859000e-08
2.500000e+01	1.000000e-03	4.505000e-08
