#M	Z	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
1.200000e+01	1.000000e-03	3.529000e-14	3.930000e-13	7.953000e-13	9.827000e-13	9.693000e-13	4.373000e-13
1.500000e+01	1.000000e-03	5.249000e-14	5.845000e-13	1.183000e-12	1.462000e-12	1.442000e-12	6.505000e-13
2.000000e+01	1.000000e-03	1.104000e-13	1.230000e-12	2.489000e-12	3.075000e-12	3.033000e-12	1.368000e-12
2.500000e+01	1.000000e-03	1.740000e-13	1.937000e-12	3.921000e-12	4.845000e-12	4.779000e-12	2.156000e-12
