#M	Z	er-162	er-164	er-166	er-167	er-168	er-170
1.200000e+01	1.000000e-03	1.339000e-15	1.592000e-14	3.365000e-13	2.310000e-13	2.715000e-13	1.531000e-13
1.500000e+01	1.000000e-03	1.991000e-15	2.368000e-14	5.006000e-13	3.436000e-13	4.038000e-13	2.277000e-13
2.000000e+01	1.000000e-03	4.189000e-15	4.980000e-14	1.053000e-12	7.227000e-13	8.495000e-13	4.790000e-13
2.500000e+01	1.000000e-03	6.600000e-15	7.847000e-14	1.659000e-12	1.139000e-12	1.338000e-12	7.548000e-13
