#M	Z	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
1.200000e+01	1.000000e-03	8.352000e-16	1.450000e-15	3.579000e-14	2.911000e-13	3.951000e-13	3.880000e-13	4.420000e-13
1.500000e+01	1.000000e-03	1.242000e-15	2.157000e-15	5.324000e-14	4.329000e-13	5.877000e-13	5.771000e-13	6.574000e-13
2.000000e+01	1.000000e-03	2.613000e-15	4.537000e-15	1.120000e-13	9.107000e-13	1.236000e-12	1.214000e-12	1.383000e-12
2.500000e+01	1.000000e-03	4.118000e-15	7.149000e-15	1.765000e-13	1.435000e-12	1.948000e-12	1.913000e-12	2.179000e-12
