#M	Z	ga-69	ga-71
1.200000e+01	1.000000e-03	3.787000e-11	2.586000e-11
1.500000e+01	1.000000e-03	5.632000e-11	3.846000e-11
2.000000e+01	1.000000e-03	1.185000e-10	8.091000e-11
2.500000e+01	1.000000e-03	1.867000e-10	1.275000e-10
