#M	Z	eu-151	eu-153
1.200000e+01	1.000000e-03	1.694000e-13	1.874000e-13
1.500000e+01	1.000000e-03	2.520000e-13	2.787000e-13
2.000000e+01	1.000000e-03	5.301000e-13	5.863000e-13
2.500000e+01	1.000000e-03	8.353000e-13	9.238000e-13
