#M	Z	xe-124	xe-126	xe-128	xe-129	xe-130	xe-131	xe-132	xe-134	xe-136
1.200000e+01	1.000000e-03	1.839000e-14	1.622000e-14	3.281000e-13	4.072000e-12	6.545000e-13	3.282000e-12	3.999000e-12	1.488000e-12	1.230000e-12
1.500000e+01	1.000000e-03	2.735000e-14	2.413000e-14	4.880000e-13	6.056000e-12	9.735000e-13	4.882000e-12	5.949000e-12	2.213000e-12	1.830000e-12
2.000000e+01	1.000000e-03	5.753000e-14	5.075000e-14	1.027000e-12	1.274000e-11	2.048000e-12	1.027000e-11	1.251000e-11	4.655000e-12	3.849000e-12
2.500000e+01	1.000000e-03	9.064000e-14	7.997000e-14	1.617000e-12	2.007000e-11	3.227000e-12	1.618000e-11	1.972000e-11	7.335000e-12	6.065000e-12
