#M	Z	au-197
1.200000e+01	1.000000e-03	9.014000e-13
1.500000e+01	1.000000e-03	1.341000e-12
2.000000e+01	1.000000e-03	2.821000e-12
2.500000e+01	1.000000e-03	4.444000e-12
