#M_sun	cu-63	cu-65
8	0	0
1.200000e+01	5.492000e-10	2.525000e-10
1.500000e+01	8.169000e-10	3.756000e-10
2.000000e+01	1.718000e-09	7.901000e-10
2.500000e+01	2.708000e-09	1.245000e-09
