#M	Z	y-89
1.200000e+01	1.000000e-03	1.023000e-11
1.500000e+01	1.000000e-03	1.522000e-11
2.000000e+01	1.000000e-03	3.201000e-11
2.500000e+01	1.000000e-03	5.043000e-11
