#M	Z	sr-84	sr-86	sr-87	sr-88
1.200000e+01	1.000000e-03	2.686000e-13	4.863000e-12	3.698000e-12	4.170000e-11
1.500000e+01	1.000000e-03	3.995000e-13	7.234000e-12	5.500000e-12	6.202000e-11
2.000000e+01	1.000000e-03	8.404000e-13	1.522000e-11	1.157000e-11	1.305000e-10
2.500000e+01	1.000000e-03	1.324000e-12	2.398000e-11	1.823000e-11	2.056000e-10
