#M_sun	he-3	he-4
8	0	0
1.200000e+01	3.166000e-06	2.239000e-02
1.500000e+01	4.513000e-06	3.434000e-02
2.000000e+01	9.771000e-06	7.046000e-02
2.500000e+01	1.845000e-05	1.059000e-01
