#M	Z	zn-64	zn-66	zn-67	zn-68	zn-70
1.200000e+01	1.000000e-03	9.409000e-10	5.567000e-10	8.305000e-11	3.855000e-10	1.312000e-11
1.500000e+01	1.000000e-03	1.400000e-09	8.280000e-10	1.235000e-10	5.733000e-10	1.952000e-11
2.000000e+01	1.000000e-03	2.944000e-09	1.742000e-09	2.598000e-10	1.206000e-09	4.105000e-11
2.500000e+01	1.000000e-03	4.639000e-09	2.745000e-09	4.094000e-10	1.900000e-09	6.469000e-11
