#M	Z	p-31
1.200000e+01	1.000000e-03	5.923000e-09
1.500000e+01	1.000000e-03	8.818000e-09
2.000000e+01	1.000000e-03	1.854000e-08
2.500000e+01	1.000000e-03	2.918000e-08
