#M	Z	pb-206	pb-207	pb-204	pb-208
1.200000e+01	1.000000e-03	2.328000e-12	2.571000e-12	2.439000e-13	7.364000e-12
1.500000e+01	1.000000e-03	3.463000e-12	3.824000e-12	3.628000e-13	1.095000e-11
2.000000e+01	1.000000e-03	7.284000e-12	8.044000e-12	7.631000e-13	2.304000e-11
2.500000e+01	1.000000e-03	1.148000e-11	1.268000e-11	1.202000e-12	3.631000e-11
