#M_sun	se-74	se-76	se-77	se-78	se-80	se-82
8	0	0	0	0	0	0
1.200000e+01	9.968000e-13	1.079000e-11	8.908000e-12	2.809000e-11	6.013000e-11	1.085000e-11
1.500000e+01	1.483000e-12	1.604000e-11	1.325000e-11	4.179000e-11	8.944000e-11	1.614000e-11
2.000000e+01	3.119000e-12	3.375000e-11	2.787000e-11	8.791000e-11	1.881000e-10	3.394000e-11
2.500000e+01	4.914000e-12	5.317000e-11	4.392000e-11	1.385000e-10	2.965000e-10	5.348000e-11
