#M	Z	gd-152	gd-154	gd-155	gd-156	gd-157	gd-158	gd-160
1.200000e+01	1.000000e-03	2.452000e-15	2.671000e-14	1.824000e-13	2.539000e-13	1.954000e-13	3.120000e-13	2.782000e-13
1.500000e+01	1.000000e-03	3.648000e-15	3.972000e-14	2.713000e-13	3.776000e-13	2.906000e-13	4.641000e-13	4.138000e-13
2.000000e+01	1.000000e-03	7.673000e-15	8.356000e-14	5.708000e-13	7.944000e-13	6.114000e-13	9.763000e-13	8.704000e-13
2.500000e+01	1.000000e-03	1.209000e-14	1.317000e-13	8.993000e-13	1.252000e-12	9.634000e-13	1.538000e-12	1.371000e-12
