#M_sun	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
8	0	0	0	0	0	0
1.200000e+01	8.392000e-16	4.868000e-14	2.072000e-12	2.137000e-12	1.603000e-12	4.595000e-13
1.500000e+01	1.248000e-15	7.241000e-14	3.082000e-12	3.179000e-12	2.384000e-12	6.834000e-13
2.000000e+01	2.626000e-15	1.523000e-13	6.482000e-12	6.687000e-12	5.015000e-12	1.438000e-12
2.500000e+01	4.137000e-15	2.400000e-13	1.021000e-11	1.054000e-11	7.901000e-12	2.265000e-12
