#M	Z	n-14	n-15
1.200000e+01	1.000000e-03	6.314000e-06	2.800000e-09
1.500000e+01	1.000000e-03	1.180000e-05	4.080000e-09
2.000000e+01	1.000000e-03	2.128000e-05	8.109000e-09
2.500000e+01	1.000000e-03	1.358000e-05	1.645000e-08
