#M	Z	mg-24	mg-25	mg-26
1.200000e+01	1.000000e-03	1.257000e-06	6.021000e-08	7.694000e-08
1.500000e+01	1.000000e-03	1.872000e-06	8.735000e-08	1.150000e-07
2.000000e+01	1.000000e-03	3.943000e-06	1.866000e-07	2.382000e-07
2.500000e+01	1.000000e-03	6.220000e-06	3.087000e-07	3.649000e-07
