#M	Z	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
1.200000e+01	1.000000e-03	2.504000e-15	1.643000e-13	2.796000e-13	3.846000e-13	2.206000e-13	5.023000e-13	1.166000e-13
1.500000e+01	1.000000e-03	3.725000e-15	2.444000e-13	4.159000e-13	5.721000e-13	3.281000e-13	7.471000e-13	1.734000e-13
2.000000e+01	1.000000e-03	7.835000e-15	5.142000e-13	8.748000e-13	1.203000e-12	6.902000e-13	1.572000e-12	3.649000e-13
2.500000e+01	1.000000e-03	1.235000e-14	8.102000e-13	1.378000e-12	1.896000e-12	1.088000e-12	2.476000e-12	5.749000e-13
