#M	Z	ti-46	ti-47	ti-48	ti-49	ti-50
1.200000e+01	1.000000e-03	2.689000e-10	2.477000e-10	4.470000e-09	1.878000e-10	1.837000e-10
1.500000e+01	1.000000e-03	4.000000e-10	3.685000e-10	6.649000e-09	2.794000e-10	2.733000e-10
2.000000e+01	1.000000e-03	8.414000e-10	7.751000e-10	1.399000e-08	5.877000e-10	5.749000e-10
2.500000e+01	1.000000e-03	1.326000e-09	1.221000e-09	2.204000e-08	9.261000e-10	9.058000e-10
