#M_sun	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
8	0	0	0	0	0	0
1.200000e+01	1.002000e-07	4.213000e-10	9.000000e-11	1.423000e-09	2.853000e-12	1.392000e-10
1.500000e+01	1.491000e-07	6.267000e-10	1.339000e-10	2.117000e-09	4.243000e-12	2.070000e-10
2.000000e+01	3.136000e-07	1.318000e-09	2.816000e-10	4.453000e-09	8.926000e-12	4.355000e-10
2.500000e+01	4.942000e-07	2.077000e-09	4.437000e-10	7.016000e-09	1.407000e-11	6.861000e-10
