#M	Z	na-23
1.200000e+01	1.000000e-03	9.281000e-08
1.500000e+01	1.000000e-03	1.895000e-07
2.000000e+01	1.000000e-03	3.476000e-07
2.500000e+01	1.000000e-03	3.042000e-07
