#M_sun	ne-20	ne-21	ne-22
8	0	0	0
1.200000e+01	4.734000e-06	1.008000e-08	1.126000e-07
1.500000e+01	7.003000e-06	9.814000e-09	1.644000e-07
2.000000e+01	1.477000e-05	1.677000e-08	3.532000e-07
2.500000e+01	2.345000e-05	1.891000e-08	5.888000e-07
