#M	Z	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
1.200000e+01	1.000000e-03	1.510000e-14	1.466000e-14	3.555000e-13	9.768000e-13	1.172000e-12	1.689000e-12	1.086000e-11
1.500000e+01	1.000000e-03	2.246000e-14	2.181000e-14	5.288000e-13	1.453000e-12	1.744000e-12	2.512000e-12	1.615000e-11
2.000000e+01	1.000000e-03	4.724000e-14	4.588000e-14	1.112000e-12	3.056000e-12	3.668000e-12	5.285000e-12	3.398000e-11
2.500000e+01	1.000000e-03	7.443000e-14	7.229000e-14	1.753000e-12	4.816000e-12	5.780000e-12	8.327000e-12	5.354000e-11
