#M	Z	h-1	h-2
1.200000e+01	1.000000e-03	6.066000e-02	8.212000e-07
1.500000e+01	1.000000e-03	8.919000e-02	1.159000e-06
2.000000e+01	1.000000e-03	1.894000e-01	2.068000e-06
2.500000e+01	1.000000e-03	3.036000e-01	4.263000e-06
