#M	Z	ce-136	ce-138	ce-140	ce-142
1.200000e+01	1.000000e-03	6.975000e-15	9.552000e-15	3.414000e-12	4.351000e-13
1.500000e+01	1.000000e-03	1.037000e-14	1.421000e-14	5.078000e-12	6.472000e-13
2.000000e+01	1.000000e-03	2.182000e-14	2.989000e-14	1.068000e-11	1.362000e-12
2.500000e+01	1.000000e-03	3.439000e-14	4.709000e-14	1.683000e-11	2.145000e-12
