#M	Z	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
1.200000e+01	1.000000e-03	3.065000e-14	1.526000e-13	1.152000e-13	1.426000e-13	7.666000e-14	2.815000e-13	2.427000e-13
1.500000e+01	1.000000e-03	4.559000e-14	2.270000e-13	1.714000e-13	2.121000e-13	1.140000e-13	4.187000e-13	3.609000e-13
2.000000e+01	1.000000e-03	9.591000e-14	4.776000e-13	3.605000e-13	4.462000e-13	2.399000e-13	8.808000e-13	7.593000e-13
2.500000e+01	1.000000e-03	1.511000e-13	7.526000e-13	5.680000e-13	7.030000e-13	3.780000e-13	1.388000e-12	1.196000e-12
