#M	Z	cr-50	cr-52	cr-53	cr-54
1.200000e+01	1.000000e-03	6.878000e-10	1.379000e-08	1.594000e-09	4.042000e-10
1.500000e+01	1.000000e-03	1.023000e-09	2.052000e-08	2.371000e-09	6.013000e-10
2.000000e+01	1.000000e-03	2.152000e-09	4.316000e-08	4.988000e-09	1.265000e-09
2.500000e+01	1.000000e-03	3.391000e-09	6.800000e-08	7.859000e-09	1.993000e-09
