#M_sun	br-79	br-81
8	0	0
1.200000e+01	1.156000e-11	1.153000e-11
1.500000e+01	1.720000e-11	1.715000e-11
2.000000e+01	3.617000e-11	3.608000e-11
2.500000e+01	5.700000e-11	5.686000e-11
