#M	Z	b-11
1.200000e+01	1.000000e-03	2.376000e-12
1.500000e+01	1.000000e-03	3.535000e-12
2.000000e+01	1.000000e-03	7.436000e-12
2.500000e+01	1.000000e-03	1.172000e-11
