#M	Z	si-28	si-29	si-30
1.200000e+01	1.000000e-03	1.257000e-06	3.261000e-08	2.223000e-08
1.500000e+01	1.000000e-03	1.870000e-06	4.851000e-08	3.306000e-08
2.000000e+01	1.000000e-03	3.935000e-06	1.020000e-07	6.956000e-08
2.500000e+01	1.000000e-03	6.199000e-06	1.608000e-07	1.096000e-07
