#M	Z	fe-54	fe-56	fe-57	fe-58
1.200000e+01	1.000000e-03	6.755000e-08	1.100000e-06	2.585000e-08	3.501000e-09
1.500000e+01	1.000000e-03	1.005000e-07	1.636000e-06	3.845000e-08	5.207000e-09
2.000000e+01	1.000000e-03	2.114000e-07	3.441000e-06	8.088000e-08	1.095000e-08
2.500000e+01	1.000000e-03	3.330000e-07	5.422000e-06	1.274000e-07	1.726000e-08
