#M	Z	li-7
1.200000e+01	1.000000e-03	4.300000e-14
1.500000e+01	1.000000e-03	6.070000e-14
2.000000e+01	1.000000e-03	1.947000e-13
2.500000e+01	1.000000e-03	2.484000e-13
