#M	Z	sc-45
1.200000e+01	1.000000e-03	4.505000e-11
1.500000e+01	1.000000e-03	6.701000e-11
2.000000e+01	1.000000e-03	1.410000e-10
2.500000e+01	1.000000e-03	2.221000e-10
