#M	Z	ge-70	ge-72	ge-73	ge-74	ge-76
1.200000e+01	1.000000e-03	4.291000e-11	5.750000e-11	1.626000e-11	7.679000e-11	1.633000e-11
1.500000e+01	1.000000e-03	6.383000e-11	8.553000e-11	2.419000e-11	1.142000e-10	2.430000e-11
2.000000e+01	1.000000e-03	1.343000e-10	1.799000e-10	5.089000e-11	2.403000e-10	5.111000e-11
2.500000e+01	1.000000e-03	2.116000e-10	2.835000e-10	8.019000e-11	3.786000e-10	8.053000e-11
