#M_sun	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
8	0	0	0	0	0	0	0
1.200000e+01	8.425000e-13	5.365000e-13	9.335000e-13	9.881000e-13	5.721000e-13	1.460000e-12	5.946000e-13
1.500000e+01	1.253000e-12	7.980000e-13	1.389000e-12	1.470000e-12	8.510000e-13	2.171000e-12	8.845000e-13
2.000000e+01	2.636000e-12	1.679000e-12	2.921000e-12	3.092000e-12	1.790000e-12	4.568000e-12	1.861000e-12
2.500000e+01	4.154000e-12	2.645000e-12	4.602000e-12	4.872000e-12	2.821000e-12	7.197000e-12	2.932000e-12
