#M	Z	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
1.200000e+01	1.000000e-03	1.025000e-15	3.359000e-14	1.196000e-13	1.765000e-13	8.863000e-14	2.303000e-13
1.500000e+01	1.000000e-03	1.524000e-15	4.996000e-14	1.780000e-13	2.626000e-13	1.318000e-13	3.425000e-13
2.000000e+01	1.000000e-03	3.206000e-15	1.051000e-13	3.744000e-13	5.523000e-13	2.773000e-13	7.204000e-13
2.500000e+01	1.000000e-03	5.051000e-15	1.656000e-13	5.899000e-13	8.703000e-13	4.370000e-13	1.135000e-12
