#M	Z	ni-58	ni-60	ni-61	ni-62	ni-64
1.200000e+01	6.000000e-03	4.426000e-06	1.764000e-06	7.794000e-08	2.526000e-07	6.640000e-08
1.500000e+01	6.000000e-03	3.205000e-06	1.277000e-06	5.644000e-08	1.829000e-07	4.809000e-08
2.000000e+01	6.000000e-03	4.922000e-06	1.961000e-06	8.668000e-08	2.809000e-07	7.385000e-08
2.500000e+01	6.000000e-03	1.491000e-05	5.939000e-06	2.625000e-07	8.506000e-07	2.236000e-07
