#M_sun	xe-124	xe-126	xe-128	xe-129	xe-130	xe-131	xe-132	xe-134	xe-136
8	0	0	0	0	0	0	0	0	0
1.200000e+01	1.712000e-12	1.511000e-12	3.056000e-11	3.792000e-10	6.095000e-11	3.057000e-10	3.725000e-10	1.386000e-10	1.146000e-10
1.500000e+01	1.240000e-12	1.094000e-12	2.213000e-11	2.746000e-10	4.414000e-11	2.214000e-10	2.697000e-10	1.003000e-10	8.297000e-11
2.000000e+01	1.904000e-12	1.680000e-12	3.398000e-11	4.217000e-10	6.779000e-11	3.400000e-10	4.142000e-10	1.541000e-10	1.274000e-10
2.500000e+01	5.767000e-12	5.087000e-12	1.029000e-10	1.277000e-09	2.053000e-10	1.030000e-09	1.254000e-09	4.666000e-10	3.858000e-10
