#M	Z	cd-106	cd-108	cd-110	cd-111	cd-112	cd-113	cd-114	cd-116
1.200000e+01	6.000000e-03	4.918000e-12	3.568000e-12	5.100000e-11	5.274000e-11	1.003000e-10	5.126000e-11	1.216000e-10	3.225000e-11
1.500000e+01	6.000000e-03	3.562000e-12	2.584000e-12	3.693000e-11	3.819000e-11	7.264000e-11	3.712000e-11	8.804000e-11	2.335000e-11
2.000000e+01	6.000000e-03	5.469000e-12	3.968000e-12	5.671000e-11	5.865000e-11	1.116000e-10	5.700000e-11	1.352000e-10	3.586000e-11
2.500000e+01	6.000000e-03	1.656000e-11	1.201000e-11	1.717000e-10	1.776000e-10	3.378000e-10	1.726000e-10	4.094000e-10	1.086000e-10
