#M	Z	lu-175	lu-176
1.200000e+01	6.000000e-03	1.417000e-11	3.506000e-12
1.500000e+01	6.000000e-03	1.026000e-11	2.539000e-12
2.000000e+01	6.000000e-03	1.575000e-11	3.899000e-12
2.500000e+01	6.000000e-03	4.771000e-11	1.181000e-11
