#M	Z	ne-20	ne-21	ne-22
1.200000e+01	6.000000e-03	4.451000e-04	7.026000e-07	1.082000e-05
1.500000e+01	6.000000e-03	3.221000e-04	5.819000e-07	7.764000e-06
2.000000e+01	6.000000e-03	4.939000e-04	7.352000e-07	1.165000e-05
2.500000e+01	6.000000e-03	1.491000e-03	2.455000e-06	3.353000e-05
