#M	Z	p-31
1.200000e+01	6.000000e-03	5.508000e-07
1.500000e+01	6.000000e-03	3.989000e-07
2.000000e+01	6.000000e-03	6.127000e-07
2.500000e+01	6.000000e-03	1.856000e-06
